id,brand_name,product_name,crop_type,variety_name,manufacturer_name,manufacturer_license,certification_number,is_active,created_at
paddy-id-1,RC Maniphou,RC Maniphou 1,Paddy,1,ICAR Manipur,LIC-MN-001,CERT-PADDY-001,True,2026-05-04 10:00:00+00
paddy-id-2,RC Maniphou,RC Maniphou 2,Paddy,2,ICAR Manipur,LIC-MN-001,CERT-PADDY-002,True,2026-05-04 10:00:00+00
paddy-id-3,RC Maniphou,RC Maniphou 3,Paddy,3,ICAR Manipur,LIC-MN-001,CERT-PADDY-003,True,2026-05-04 10:00:00+00
paddy-id-4,RC Maniphou,RC Maniphou 4,Paddy,4,ICAR Manipur,LIC-MN-001,CERT-PADDY-004,True,2026-05-04 10:00:00+00
paddy-id-5,RC Maniphou,RC Maniphou 5,Paddy,5,ICAR Manipur,LIC-MN-001,CERT-PADDY-005,True,2026-05-04 10:00:00+00
paddy-id-6,RC Maniphou,RC Maniphou 6,Paddy,6,ICAR Manipur,LIC-MN-001,CERT-PADDY-006,True,2026-05-04 10:00:00+00
paddy-id-7,RC Maniphou,RC Maniphou 7,Paddy,7,ICAR Manipur,LIC-MN-001,CERT-PADDY-007,True,2026-05-04 10:00:00+00
paddy-id-8,RC Maniphou,RC Maniphou 8,Paddy,8,ICAR Manipur,LIC-MN-001,CERT-PADDY-008,True,2026-05-04 10:00:00+00
paddy-id-9,RC Maniphou,RC Maniphou 9,Paddy,9,ICAR Manipur,LIC-MN-001,CERT-PADDY-009,True,2026-05-04 10:00:00+00
paddy-id-10,RC Maniphou,RC Maniphou 10,Paddy,10,ICAR Manipur,LIC-MN-001,CERT-PADDY-010,True,2026-05-04 10:00:00+00
paddy-id-11,RC Maniphou,RC Maniphou 11,Paddy,11,ICAR Manipur,LIC-MN-001,CERT-PADDY-011,True,2026-05-04 10:00:00+00
paddy-id-12,RC Maniphou,RC Maniphou 12,Paddy,12,ICAR Manipur,LIC-MN-001,CERT-PADDY-012,True,2026-05-04 10:00:00+00
paddy-id-13,RC Maniphou,RC Maniphou 13,Paddy,13,ICAR Manipur,LIC-MN-001,CERT-PADDY-013,True,2026-05-04 10:00:00+00
paddy-id-14,RC Maniphou,RC Maniphou 14,Paddy,14,ICAR Manipur,LIC-MN-001,CERT-PADDY-014,True,2026-05-04 10:00:00+00
paddy-id-15,RC Maniphou,RC Maniphou 15,Paddy,15,ICAR Manipur,LIC-MN-001,CERT-PADDY-015,True,2026-05-04 10:00:00+00
paddy-id-16,RC Maniphou,RC Maniphou 1,Paddy,1,ICAR Manipur,LIC-MN-001,CERT-PADDY-016,True,2026-05-04 10:00:00+00
paddy-id-17,RC Maniphou,RC Maniphou 2,Paddy,2,ICAR Manipur,LIC-MN-001,CERT-PADDY-017,True,2026-05-04 10:00:00+00
paddy-id-18,RC Maniphou,RC Maniphou 3,Paddy,3,ICAR Manipur,LIC-MN-001,CERT-PADDY-018,True,2026-05-04 10:00:00+00
paddy-id-19,RC Maniphou,RC Maniphou 4,Paddy,4,ICAR Manipur,LIC-MN-001,CERT-PADDY-019,True,2026-05-04 10:00:00+00
paddy-id-20,RC Maniphou,RC Maniphou 5,Paddy,5,ICAR Manipur,LIC-MN-001,CERT-PADDY-020,True,2026-05-04 10:00:00+00
paddy-id-21,RC Maniphou,RC Maniphou 6,Paddy,6,ICAR Manipur,LIC-MN-001,CERT-PADDY-021,True,2026-05-04 10:00:00+00
paddy-id-22,RC Maniphou,RC Maniphou 7,Paddy,7,ICAR Manipur,LIC-MN-001,CERT-PADDY-022,True,2026-05-04 10:00:00+00
paddy-id-23,RC Maniphou,RC Maniphou 8,Paddy,8,ICAR Manipur,LIC-MN-001,CERT-PADDY-023,True,2026-05-04 10:00:00+00
paddy-id-24,RC Maniphou,RC Maniphou 9,Paddy,9,ICAR Manipur,LIC-MN-001,CERT-PADDY-024,True,2026-05-04 10:00:00+00
paddy-id-25,RC Maniphou,RC Maniphou 10,Paddy,10,ICAR Manipur,LIC-MN-001,CERT-PADDY-025,True,2026-05-04 10:00:00+00
paddy-id-26,RC Maniphou,RC Maniphou 11,Paddy,11,ICAR Manipur,LIC-MN-001,CERT-PADDY-026,True,2026-05-04 10:00:00+00
paddy-id-27,RC Maniphou,RC Maniphou 12,Paddy,12,ICAR Manipur,LIC-MN-001,CERT-PADDY-027,True,2026-05-04 10:00:00+00
paddy-id-28,RC Maniphou,RC Maniphou 13,Paddy,13,ICAR Manipur,LIC-MN-001,CERT-PADDY-028,True,2026-05-04 10:00:00+00
paddy-id-29,RC Maniphou,RC Maniphou 14,Paddy,14,ICAR Manipur,LIC-MN-001,CERT-PADDY-029,True,2026-05-04 10:00:00+00
paddy-id-30,RC Maniphou,RC Maniphou 15,Paddy,15,ICAR Manipur,LIC-MN-001,CERT-PADDY-030,True,2026-05-04 10:00:00+00
